iter	Passed	Remaining
580	19008	13708
581	19038	13673
582	19068	13638
583	19091	13599
584	19132	13572
585	19159	13535
586	19197	13506
587	19225	13471
588	19256	13437
589	19284	13401
590	19307	13361
591	19335	13326
592	19367	13292
593	19398	13259
594	19432	13226
595	19463	13193
596	19498	13162
597	19525	13125
598	19551	13088
599	19575	13050
600	19604	13015
601	19635	12981
602	19667	12948
603	19693	12911
604	19718	12873
605	19740	12834
606	19772	12801
607	19800	12765
608	19825	12728
609	19893	12718
610	19942	12696
611	19968	12659
612	20002	12628
613	20031	12593
614	20069	12564
615	20098	12529
616	20125	12492
617	20151	12456
618	20181	12421
619	20207	12385
620	20235	12349
621	20269	12318
622	20299	12283
623	20324	12247
624	20349	12209
625	20377	12174
626	20417	12146
627	20444	12110
628	20482	12080
629	20525	12054
630	20548	12016
631	20573	11979
632	20602	11944
633	20629	11908
634	20653	11871
635	20686	11839
636	20721	11808
637	20763	11781
638	20817	11760
639	20856	11731
640	20907	11709
641	20933	11673
642	20956	11635
643	20991	11603
644	21017	11567
645	21043	11531
646	21072	11496
647	21101	11462
648	21134	11430
649	21162	11395
650	21187	11358
651	21213	11322
652	21243	11288
653	21267	11251
654	21299	11218
655	21330	11185
656	21363	11153
657	21389	11117
658	21418	11083
659	21443	11046
660	21478	11015
661	21508	10981
662	21545	10951
663	21574	10917
664	21600	10881
665	21627	10846
666	21655	10811
667	21679	10775
668	21711	10741
669	21754	10714
670	21816	10697
671	21853	10666
672	21877	10630
673	21912	10598
674	21947	10567
675	21989	10539
676	22018	10505
677	22044	10469
678	22069	10433
679	22093	10396
680	22126	10364
681	22158	10331
682	22188	10298
683	22216	10263
684	22241	10227
685	22265	10191
686	22289	10155
687	22320	10121
688	22359	10092
689	22406	10066
690	22494	10058
691	22568	10044
692	22628	10024
693	22691	10005
694	22738	9978
695	22774	9947
696	22836	9927
697	22889	9903
698	22916	9868
699	22945	9833
700	22979	9801
701	23011	9768
702	23042	9734
703	23067	9699
704	23095	9663
705	23120	9628
706	23150	9594
707	23186	9562
708	23217	9529
709	23251	9497
710	23276	9461
711	23300	9424
712	23322	9387
713	23354	9354
714	23382	9320
715	23412	9286
716	23443	9253
717	23481	9222
718	23505	9186
719	23531	9150
720	23559	9116
721	23585	9081
722	23611	9046
723	23645	9013
724	23674	8980
725	23702	8945
726	23730	8911
727	23759	8877
728	23784	8841
729	23809	8806
730	23834	8770
731	23864	8737
732	23918	8712
733	23979	8690
734	24005	8654
735	24028	8618
736	24054	8583
737	24084	8550
738	24115	8517
739	24149	8485
740	24175	8450
741	24199	8414
742	24228	8380
743	24259	8347
744	24284	8312
745	24316	8279
746	24349	8246
747	24377	8212
748	24401	8177
749	24432	8144
750	24467	8112
751	24496	8078
752	24528	8045
753	24556	8011
754	24580	7976
755	24609	7942
756	24639	7909
757	24664	7874
758	24691	7839
759	24738	7812
760	24783	7783
761	24856	7763
762	24911	7738
763	24955	7708
764	24994	7678
765	25023	7644
766	25050	7609
767	25075	7575
768	25102	7540
769	25128	7505
770	25161	7473
771	25202	7443
772	25228	7408
773	25256	7374
774	25279	7339
775	25307	7305
776	25334	7271
777	25358	7235
778	25398	7205
779	25436	7174
780	25460	7139
781	25485	7104
782	25509	7069
783	25543	7037
784	25568	7002
785	25593	6968
786	25626	6935
787	25656	6902
788	25685	6869
789	25717	6836
790	25748	6803
791	25772	6768
792	25802	6735
793	25829	6701
794	25861	6668
795	25897	6637
796	25942	6607
797	25994	6580
798	26020	6545
799	26051	6512
800	26089	6481
801	26116	6447
802	26146	6414
803	26172	6380
804	26198	6346
805	26222	6311
806	26248	6277
